ctype, err_avg, path, init_x, init_y, init_h, kp, kd
PID, 0.628305605468, circle, -1.6, 0.2, 0.7, 0.15, 0.2
PID, 0.685395043073, circle, -1.6, 0.2, 1.57, 0.15, 0.2
PID, 0.75789693435, circle, -1.6, -1.0, -0.5, 0.15, 0.2
PID, 0.943435590406, circle, -1.6, -1.0, -1.57, 0.15, 0.2
PID, 0.493736943902, circle, -1.6, 0.2, 0.7, 0.15, 0.5
PID, 0.503364859733, circle, -1.6, 0.2, 1.57, 0.15, 0.5
PID, 0.754686586517, circle, -1.6, -1.0, -0.5, 0.15, 0.5
PID, 1.02925855753, circle, -1.6, -1.0, -1.57, 0.15, 0.5
PID, 0.332024749562, circle, -1.6, 0.2, 0.7, 0.15, 1.0
PID, 0.437220828593, circle, -1.6, 0.2, 1.57, 0.15, 1.0
PID, 0.74792486352, circle, -1.6, -1.0, -0.5, 0.15, 1.0
PID, 1.23081118824, circle, -1.6, -1.0, -1.57, 0.15, 1.0
PID, 0.362686483301, circle, -1.6, 0.2, 0.7, 0.15, 2.0
PID, 0.525822399339, circle, -1.6, 0.2, 1.57, 0.15, 2.0
PID, 0.804363615415, circle, -1.6, -1.0, -0.5, 0.15, 2.0
PID, 1.41194766008, circle, -1.6, -1.0, -1.57, 0.3, 0.2
PID, 0.474153108311, circle, -1.6, 0.2, 0.7, 0.3, 0.2
PID, 0.46293541771, circle, -1.6, 0.2, 1.57, 0.3, 0.2
PID, 0.447548275964, circle, -1.6, -1.0, -0.5, 0.3, 0.2
PID, 0.653595914761, circle, -1.6, -1.0, -1.57, 0.3, 0.2
PID, 0.334373300785, circle, -1.6, 0.2, 0.7, 0.3, 0.5
PID, 0.412483569469, circle, -1.6, 0.2, 1.57, 0.3, 0.5
PID, 0.50353149714, circle, -1.6, -1.0, -0.5, 0.3, 0.5
PID, 0.740868752117, circle, -1.6, -1.0, -1.57, 0.3, 0.5
PID, 0.257612261005, circle, -1.6, 0.2, 0.7, 0.3, 1.0
PID, 0.361327651666, circle, -1.6, 0.2, 1.57, 0.3, 1.0
PID, 0.55441528059, circle, -1.6, -1.0, -0.5, 0.3, 1.0
PID, 0.897892400324, circle, -1.6, -1.0, -1.57, 0.3, 1.0
PID, 0.24902465546, circle, -1.6, 0.2, 0.7, 0.3, 2.0
PID, 0.500361238385, circle, -1.6, 0.2, 1.57, 0.3, 2.0
PID, 0.614764957721, circle, -1.6, -1.0, -0.5, 0.3, 2.0
PID, 1.10968647613, circle, -1.6, -1.0, -1.57, 0.3, 2.0
PID, 0.256482679249, circle, -1.6, 0.2, 0.7, 1.0, 0.2
PID, 0.318992224673, circle, -1.6, 0.2, 1.57, 1.0, 0.2
PID, 0.23190612705, circle, -1.6, -1.0, -0.5, 1.0, 0.2
PID, 0.641787786212, circle, -1.6, -1.0, -1.57, 1.0, 0.2
PID, 0.164880571409, circle, -1.6, 0.2, 0.7, 1.0, 0.5
PID, 0.263164277223, circle, -1.6, 0.2, 1.57, 1.0, 0.5
PID, 0.241194780139, circle, -1.6, -1.0, -0.5, 1.0, 0.5
PID, 0.468555164774, circle, -1.6, -1.0, -1.57, 1.0, 0.5
PID, 0.154618455529, circle, -1.6, 0.2, 0.7, 1.0, 1.0
PID, 0.252295519341, circle, -1.6, 0.2, 1.57, 1.0, 1.0
PID, 0.258236541647, circle, -1.6, -1.0, -0.5, 1.0, 1.0
PID, 0.546560002077, circle, -1.6, -1.0, -1.57, 1.0, 1.0
PID, 0.159830743508, circle, -1.6, 0.2, 0.7, 1.0, 2.0
PID, 0.275863696963, circle, -1.6, 0.2, 1.57, 1.0, 2.0
PID, 0.333750795191, circle, -1.6, -1.0, -0.5, 1.0, 2.0
PID, 0.641498260519, circle, -1.6, -1.0, -1.57, 1.0, 2.0
PID, 0.551580108002, circle, -1.6, 0.2, 0.7, 3.0, 0.2
PID, 0.876859085819, circle, -1.6, 0.2, 1.57, 3.0, 0.2
PID, 0.545176218464, circle, -1.6, -1.0, -0.5, 3.0, 0.2
PID, 0.864567834423, circle, -1.6, 0.2, 0.7, 3.0, 0.5
PID, 0.31745213195, circle, -1.6, 0.2, 1.57, 3.0, 0.5
PID, 0.19511175086, circle, -1.6, -1.0, -0.5, 3.0, 0.5
PID, 0.747960766497, circle, -1.6, -1.0, -1.57, 3.0, 1.0
PID, 0.10114690836, circle, -1.6, 0.2, 0.7, 3.0, 1.0
PID, 0.216527507746, circle, -1.6, 0.2, 1.57, 3.0, 1.0
PID, 0.168033484695, circle, -1.6, -1.0, -0.5, 3.0, 1.0
PID, 0.552460380077, circle, -1.6, -1.0, -1.57, 3.0, 1.0
PID, 0.109737322158, circle, -1.6, 0.2, 0.7, 3.0, 2.0
PID, 0.184402562686, circle, -1.6, 0.2, 1.57, 3.0, 2.0
PID, 0.201821240148, circle, -1.6, -1.0, -0.5, 3.0, 2.0
PID, 0.456295929992, circle, -1.6, -1.0, -1.57, 3.0, 2.0
